Responder,image,answer
Google Lens,img-1,handheld tatoo machine
Google Lens,img-2,youth psychiatry
Google Lens,img-3,learn japanese online
Google Lens,img-4,man with gun
Google Lens,img-5,sad human internal organs
Google Lens,img-6,shopping weevil
Cassie,img-1,sad seed sower
Cassie,img-2,fighting cars
Cassie,img-3,ball playing triplets
Cassie,img-4,poisoned guitar
Cassie,img-5,australian sheep love drumsticks
Cassie,img-6,pet store anteater
Will,img-1,following breadcrumbs
Will,img-2,punch and drive
Will,img-3,ball becomes child
Will,img-4,death by leaf blower
Will,img-5,badly explained climate change theory
Will,img-6,convicted croissant escapes supermarket
Bob,img-1,all up hill
Bob,img-2,fight to be last
Bob,img-3,"whatever it is, i love it"
Bob,img-4,chainsaw massacre
Bob,img-5,raining dogs up and down
Bob,img-6,gone shopping for a zebra
Answer,img-1,walk of shame
Answer,img-2,hostile takeover
Answer,img-3,sports montage
Answer,img-4,ted bundy's banjo
Answer,img-5,meat sweats
Answer,img-6,mad grocery bagger
