ID,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Link,Size,Type
0,1,1,1,3,1,3,link,1,response
1,1,1,1,5,5,5,link,1,response
2,1,1,4,5,5,4,link,1,response
3,1,2,2,2,5,2,link,1,response
4,1,4,5,2,3,1,link,1,response
5,1,5,1,1,5,3,link,1,response
6,1,5,2,1,5,3,link,1,response
7,1,5,2,3,5,2,link,1,response
8,1,5,3,3,5,3,link,1,response
9,1,5,4,5,3,2,link,1,response
10,2,1,1,5,5,4,link,1,response
11,2,1,2,2,1,3,link,1,response
12,2,1,2,5,1,2,link,1,response
13,2,1,5,3,3,5,link,1,response
14,2,2,1,2,3,2,link,1,response
15,2,2,1,3,1,5,link,1,response
16,2,2,1,5,3,3,link,1,response
17,2,2,2,2,1,4,link,1,response
18,2,2,2,2,3,3,link,1,response
19,2,2,2,3,5,2,link,1,response
20,2,2,2,3,5,4,link,1,response
21,2,2,3,5,1,2,link,1,response
22,2,3,1,3,3,3,link,1,response
23,2,3,1,5,1,3,link,1,response
24,2,3,2,1,3,1,link,1,response
25,2,3,2,2,2,4,link,1,response
26,2,3,5,2,5,3,link,1,response
27,2,3,5,5,2,4,link,1,response
28,2,5,1,2,2,5,link,1,response
29,2,5,1,3,5,1,link,1,response
30,2,5,2,2,3,2,link,1,response
31,2,5,2,3,4,2,link,1,response
32,2,5,2,3,5,2,link,1,response
33,2,5,3,1,2,2,link,1,response
34,2,5,3,5,2,2,link,1,response
35,3,1,1,3,3,3,link,1,response
36,3,1,1,3,3,4,link,1,response
37,3,1,1,4,5,5,link,1,response
38,3,1,1,5,1,1,link,1,response
39,3,1,1,5,1,4,link,1,response
40,3,1,2,5,3,3,link,1,response
41,3,1,4,2,5,2,link,1,response
42,3,2,1,2,3,2,link,1,response
43,3,2,1,3,3,1,link,1,response
44,3,2,1,5,5,3,link,1,response
45,3,2,2,2,2,1,link,1,response
46,3,2,2,2,3,4,link,1,response
47,3,2,3,1,1,2,link,1,response
48,3,2,5,1,2,1,link,1,response
49,3,2,5,2,3,5,link,1,response
50,3,2,5,2,5,2,link,1,response
51,3,2,5,5,3,4,link,1,response
52,3,3,1,3,5,4,link,1,response
53,3,3,1,5,5,2,link,1,response
54,3,3,5,3,1,5,link,1,response
55,3,3,5,3,5,5,link,1,response
56,3,5,1,1,2,4,link,1,response
57,3,5,1,1,5,1,link,1,response
58,3,5,1,2,5,4,link,1,response
59,3,5,1,3,4,4,link,1,response
60,3,5,1,4,5,4,link,1,response
61,3,5,1,5,5,4,link,1,response
62,3,5,2,2,2,4,link,1,response
63,3,5,2,2,5,3,link,1,response
64,3,5,3,1,5,2,link,1,response
65,3,5,3,3,5,2,link,1,response
66,3,5,3,5,2,4,link,1,response
67,3,5,4,3,4,3,link,1,response
68,4,1,1,2,1,3,link,1,response
69,5,1,1,2,5,5,link,1,response
70,5,1,1,3,1,4,link,2,response
71,5,1,1,3,3,3,link,1,response
72,5,1,1,3,3,5,link,2,response
73,5,1,1,3,5,1,link,1,response
74,5,1,1,3,5,3,link,1,response
75,5,1,1,3,5,4,link,1,response
76,5,1,1,3,5,5,link,1,response
77,5,1,1,5,1,3,link,1,response
78,5,1,1,5,2,3,link,1,response
79,5,1,1,5,5,3,link,1,response
80,5,1,1,5,5,4,link,1,response
81,5,1,2,2,3,2,link,1,response
82,5,1,2,3,5,2,link,1,response
83,5,1,3,1,5,5,link,1,response
84,5,1,3,3,3,2,link,1,response
85,5,1,4,1,5,5,link,1,response
86,5,1,5,3,5,4,link,1,response
87,5,1,5,5,5,3,link,1,response
88,5,2,1,2,5,3,link,1,response
89,5,2,1,3,3,2,link,1,response
90,5,2,1,3,5,4,link,1,response
91,5,2,2,3,3,3,link,1,response
92,5,2,2,3,3,4,link,1,response
93,5,2,2,3,5,1,link,1,response
94,5,2,2,4,4,1,link,1,response
95,5,2,2,5,2,3,link,1,response
96,5,2,2,5,5,2,link,1,response
97,5,2,2,5,5,3,link,1,response
98,5,2,4,5,5,1,link,1,response
99,5,2,5,2,5,3,link,1,response
100,5,3,1,2,2,4,link,1,response
101,5,3,1,3,1,4,link,1,response
102,5,3,1,3,3,5,link,1,response
103,5,3,2,3,5,4,link,1,response
104,5,5,1,2,3,4,link,1,response
105,5,5,1,3,1,4,link,1,response
106,5,5,1,3,2,5,link,1,response
107,5,5,1,3,3,2,link,1,response
108,5,5,1,3,5,2,link,2,response
109,5,5,1,5,5,2,link,1,response
110,5,5,1,5,5,3,link,1,response
111,5,5,2,5,1,4,link,1,response
112,5,5,2,5,3,3,link,1,response
113,5,5,3,3,2,4,link,1,response
114,5,5,5,3,5,2,link,1,response
-1,0,0,0,0,0,0,link,1,parameter
